darknet-yolov3
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
320
Loaded: 0.322835 seconds
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.609086, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.117007, Class: 0.411611, Obj: 0.589998, No Obj: 0.565942, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.031752, Class: 0.253098, Obj: 0.255374, No Obj: 0.495998, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.611761, .5R: -nan, .75R: -nan,  count: 0
1: 2755.051514, 2755.051514 avg, 0.000000 rate, 915.458750 seconds, 64 images
Loaded: 0.000075 seconds
Region 82 Avg IOU: 0.164521, Class: 0.579262, Obj: 0.383169, No Obj: 0.566671, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.020112, Class: 0.546156, Obj: 0.488629, No Obj: 0.496089, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.610785, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.346991, Class: 0.622437, Obj: 0.474627, No Obj: 0.563061, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.132002, Class: 0.527443, Obj: 0.526964, No Obj: 0.494954, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.612324, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.222935, Class: 0.359734, Obj: 0.560245, No Obj: 0.564968, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495028, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.615243, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.205449, Class: 0.604746, Obj: 0.542023, No Obj: 0.566169, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: 0.002130, Class: 0.666598, Obj: 0.765460, No Obj: 0.495044, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.608367, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.286015, Class: 0.542048, Obj: 0.488101, No Obj: 0.565939, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.242616, Class: 0.372407, Obj: 0.385221, No Obj: 0.495938, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.614285, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.431049, Class: 0.359032, Obj: 0.540339, No Obj: 0.564509, .5R: 0.500000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.004312, Class: 0.058403, Obj: 0.232639, No Obj: 0.494706, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.612612, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.340247, Class: 0.467032, Obj: 0.418454, No Obj: 0.565660, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.133016, Class: 0.681310, Obj: 0.649515, No Obj: 0.495986, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.606964, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.291835, Class: 0.570661, Obj: 0.487470, No Obj: 0.567286, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.125044, Class: 0.522334, Obj: 0.5829
